transaction_id,customer_id,account_number,transaction_type,channel,branch,amount_ngn,balance_after_ngn,transaction_datetime,mean,std,flag_statistical_outlier,hour,flag_off_hours_withdrawal,flag_velocity_transfer_x,transaction_date_only,flag_round_tripping,final_predicted_anomaly,flag_velocity_transfer_y,flag_velocity_transfer,is_flagged_anomaly
TXN0005323,CUST00525,1010047595,Transfer,USSD,Gombe GRA,36111.15,-11648.81,2025-06-14 22:52:27,117697.78146520145,281258.69534751173,0,22,0,0,2025-06-14,0,0,0.0,0,0
TXN0003652,CUST00525,1010047595,Transfer,USSD,Kano Central,65257.02,-50000.0,2025-06-27 22:13:03,117697.78146520145,281258.69534751173,0,22,0,0,2025-06-27,0,0,0.0,0,0
TXN0006219,CUST00327,1011145552,Bill Payment,Branch,Pantami,25635.14,31169.71,2025-01-11 03:55:42,21098.941747967478,159017.0470171929,0,3,0,0,2025-01-11,0,0,,0,0
TXN0000174,CUST00327,1011145552,Deposit,Branch,Gombe Main,67829.71,98999.42,2025-01-15 11:36:38,118545.24564193691,208386.5599244788,0,11,0,0,2025-01-15,0,0,,0,0
TXN0008384,CUST00327,1011145552,Transfer,Mobile App,Tudun Wada,23927.12,75072.3,2025-01-18 14:10:45,117697.78146520145,281258.69534751173,0,14,0,0,2025-01-18,0,0,0.0,0,0
TXN0005602,CUST00327,1011145552,Withdrawal,USSD,Kano Central,33978.69,41093.61,2025-05-02 13:01:23,75579.15662782955,206001.7785323362,0,13,0,0,2025-05-02,0,0,,0,0
TXN0010076,CUST00327,1011145552,Withdrawal,Internet Banking,Kano Central,40527.09,566.52,2025-06-22 02:27:52,75579.15662782955,206001.7785323362,0,2,1,0,2025-06-22,0,1,,0,0
TXN0004256,CUST00327,1011145552,Withdrawal,USSD,Bauchi Rd,27624.05,-27057.53,2025-06-25 02:26:33,75579.15662782955,206001.7785323362,0,2,1,0,2025-06-25,0,1,,0,0
TXN0003272,CUST00380,1011643208,Transfer,Internet Banking,Gombe Main,43456.25,154227.14,2025-01-05 15:10:54,117697.78146520145,281258.69534751173,0,15,0,0,2025-01-05,0,0,0.0,0,0
TXN0001773,CUST00380,1011643208,Deposit,Mobile App,Lagos Island,89397.79,243624.93,2025-04-20 02:37:22,118545.24564193691,208386.5599244788,0,2,0,0,2025-04-20,0,0,,0,0
TXN0006685,CUST00380,1011643208,Withdrawal,USSD,Gombe Main,21252.48,222372.45,2025-04-26 23:17:15,75579.15662782955,206001.7785323362,0,23,0,0,2025-04-26,0,0,,0,0
TXN0003720,CUST00380,1011643208,Bill Payment,USSD,Gombe Main,18947.34,203425.11,2025-05-05 13:05:41,21098.941747967478,159017.0470171929,0,13,0,0,2025-05-05,0,0,,0,0
TXN0001977,CUST00380,1011643208,Deposit,Mobile App,Gombe Main,44974.18,248399.29,2025-05-23 06:27:47,118545.24564193691,208386.5599244788,0,6,0,0,2025-05-23,0,0,,0,0
TXN0003529,CUST01219,1012545745,POS Payment,Mobile App,Pantami,25291.59,429168.51,2025-03-19 23:16:15,30183.22639744952,201999.3457782681,0,23,0,0,2025-03-19,0,0,,0,0
TXN0008955,CUST01219,1012545745,Transfer,USSD,Kano Central,73121.73,356046.78,2025-03-26 10:04:31,117697.78146520145,281258.69534751173,0,10,0,0,2025-03-26,0,0,0.0,0,0
TXN0008390,CUST01219,1012545745,Withdrawal,Mobile App,Kano Central,14318.8,341727.98,2025-06-07 01:50:14,75579.15662782955,206001.7785323362,0,1,1,0,2025-06-07,0,1,,0,0
TXN0008390_0,CUST01219,1012545745,Transfer,Mobile App,Kano Central,655019.95,341727.98,2025-06-07 01:50:14,117697.78146520145,281258.69534751173,0,1,0,0,2025-06-07,0,0,0.0,0,1
TXN0008390_1,CUST01219,1012545745,Transfer,Mobile App,Kano Central,655019.95,341727.98,2025-06-07 01:52:14,117697.78146520145,281258.69534751173,0,1,0,0,2025-06-07,0,0,0.0,0,1
TXN0008390_2,CUST01219,1012545745,Transfer,Mobile App,Kano Central,655019.95,341727.98,2025-06-07 01:54:14,117697.78146520145,281258.69534751173,0,1,0,1,2025-06-07,0,1,1.0,1,1
TXN0008325,CUST01219,1012545745,POS Payment,Mobile App,Lagos Island,23993.91,317734.07,2025-06-19 05:39:28,30183.22639744952,201999.3457782681,0,5,0,0,2025-06-19,0,0,,0,0
TXN0006207,CUST01350,1024334476,POS Payment,ATM,Gombe Main,21678.48,349027.75,2025-03-14 05:34:19,30183.22639744952,201999.3457782681,0,5,0,0,2025-03-14,0,0,,0,0
TXN0000592,CUST01350,1024334476,Withdrawal,Internet Banking,Gombe Main,11377.87,337649.88,2025-03-19 07:35:31,75579.15662782955,206001.7785323362,0,7,0,0,2025-03-19,0,0,,0,0
TXN0009634,CUST01350,1024334476,Withdrawal,USSD,Gombe GRA,31243.59,306406.29,2025-03-25 09:54:15,75579.15662782955,206001.7785323362,0,9,0,0,2025-03-25,0,0,,0,0
TXN0001292,CUST01350,1024334476,Withdrawal,ATM,Kano Central,16896.78,289509.51,2025-05-17 05:55:11,75579.15662782955,206001.7785323362,0,5,0,0,2025-05-17,0,0,,0,0
TXN0009459,CUST01350,1024334476,Withdrawal,ATM,Gombe Main,102751.49,186758.02,2025-05-18 17:51:39,75579.15662782955,206001.7785323362,0,17,0,0,2025-05-18,0,0,,0,0
TXN0002092,CUST01350,1024334476,Transfer,Branch,Gombe Main,74531.21,112226.81,2025-06-09 07:26:39,117697.78146520145,281258.69534751173,0,7,0,0,2025-06-09,0,0,0.0,0,0
TXN0000737,CUST01077,1030190179,Withdrawal,ATM,Kano Central,40927.17,270852.91,2025-03-18 09:14:30,75579.15662782955,206001.7785323362,0,9,0,0,2025-03-18,0,0,,0,0
TXN0002561,CUST01077,1030190179,Transfer,Branch,Gombe Main,78865.65,191987.26,2025-05-03 11:53:56,117697.78146520145,281258.69534751173,0,11,0,0,2025-05-03,0,0,0.0,0,0
TXN0008609,CUST00356,1032359860,Withdrawal,ATM,Pantami,146539.91,215166.81,2025-01-11 22:50:09,75579.15662782955,206001.7785323362,0,22,0,0,2025-01-11,0,0,,0,0
TXN0000586,CUST00356,1032359860,POS Payment,Mobile App,Kano Central,15139.93,200026.88,2025-02-23 23:00:09,30183.22639744952,201999.3457782681,0,23,0,0,2025-02-23,0,0,,0,0
TXN0001975,CUST00356,1032359860,Transfer,Mobile App,Bauchi Rd,67703.49,132323.39,2025-04-10 03:23:22,117697.78146520145,281258.69534751173,0,3,0,0,2025-04-10,0,0,0.0,0,0
TXN0008772,CUST00356,1032359860,Withdrawal,USSD,Gombe Main,58264.35,74059.04,2025-06-17 07:58:11,75579.15662782955,206001.7785323362,0,7,0,0,2025-06-17,0,0,,0,0
TXN0000776,CUST01693,1034206848,Deposit,Branch,Kano Central,93812.08,504084.92,2025-01-02 18:57:39,118545.24564193691,208386.5599244788,0,18,0,0,2025-01-02,0,0,,0,0
TXN0001396,CUST01693,1034206848,Withdrawal,Mobile App,Pantami,95036.49,409048.43,2025-02-22 11:45:48,75579.15662782955,206001.7785323362,0,11,0,0,2025-02-22,0,0,,0,0
TXN0008024,CUST01693,1034206848,POS Payment,USSD,Tudun Wada,23508.1,385540.33,2025-05-06 18:01:06,30183.22639744952,201999.3457782681,0,18,0,0,2025-05-06,0,0,,0,0
TXN0002335,CUST01693,1034206848,Withdrawal,Mobile App,Gombe GRA,683985.54,378217.15,2025-05-14 00:55:00,75579.15662782955,206001.7785323362,0,0,1,0,2025-05-14,0,1,,0,1
TXN0007120,CUST00748,1038785284,POS Payment,Branch,Kano Central,44661.86,150898.05,2025-01-03 10:50:59,30183.22639744952,201999.3457782681,0,10,0,0,2025-01-03,0,0,,0,0
TXN0003227,CUST00748,1038785284,POS Payment,USSD,Pantami,8175.66,142722.39,2025-01-17 15:27:54,30183.22639744952,201999.3457782681,0,15,0,0,2025-01-17,0,0,,0,0
TXN0005983,CUST00748,1038785284,Bill Payment,Mobile App,Kano Central,44175.65,98546.74,2025-01-29 19:38:44,21098.941747967478,159017.0470171929,0,19,0,0,2025-01-29,0,0,,0,0
TXN0005548,CUST00748,1038785284,Transfer,Mobile App,Pantami,68658.86,29887.88,2025-03-26 07:23:56,117697.78146520145,281258.69534751173,0,7,0,0,2025-03-26,0,0,0.0,0,0
TXN0010237,CUST00748,1038785284,POS Payment,Mobile App,Bauchi Rd,25267.59,4620.29,2025-06-05 03:02:32,30183.22639744952,201999.3457782681,0,3,0,0,2025-06-05,0,0,,0,0
TXN0009018,CUST01029,1047380429,POS Payment,Branch,Pantami,8986.22,262019.49,2025-01-10 03:10:16,30183.22639744952,201999.3457782681,0,3,0,0,2025-01-10,0,0,,0,0
TXN0009707,CUST01029,1047380429,POS Payment,ATM,Pantami,24473.71,237545.78,2025-01-10 23:39:02,30183.22639744952,201999.3457782681,0,23,0,0,2025-01-10,0,0,,0,0
TXN0010370,CUST01029,1047380429,Transfer,ATM,Tudun Wada,34216.93,203328.85,2025-01-11 02:19:51,117697.78146520145,281258.69534751173,0,2,0,0,2025-01-11,0,0,0.0,0,0
TXN0006883,CUST01029,1047380429,Withdrawal,Branch,Gombe GRA,140423.9,62904.95,2025-01-21 22:56:05,75579.15662782955,206001.7785323362,0,22,0,0,2025-01-21,0,0,,0,0
TXN0009316,CUST01029,1047380429,Deposit,Branch,Lagos Island,114755.64,177660.59,2025-01-31 05:41:01,118545.24564193691,208386.5599244788,0,5,0,0,2025-01-31,0,0,,0,0
TXN0001279,CUST01029,1047380429,Withdrawal,USSD,Bauchi Rd,37381.56,140279.03,2025-02-10 03:04:54,75579.15662782955,206001.7785323362,0,3,1,0,2025-02-10,0,1,,0,0
TXN0007406,CUST01029,1047380429,Withdrawal,USSD,Lagos Island,53680.44,86598.59,2025-03-22 01:45:10,75579.15662782955,206001.7785323362,0,1,1,0,2025-03-22,0,1,,0,0
TXN0006790,CUST01029,1047380429,Withdrawal,USSD,Bauchi Rd,43962.74,42635.85,2025-05-08 00:36:46,75579.15662782955,206001.7785323362,0,0,1,0,2025-05-08,0,1,,0,0
TXN0009848,CUST01609,1049309063,Deposit,Internet Banking,Tudun Wada,35816.9,431596.32,2025-01-05 04:54:26,118545.24564193691,208386.5599244788,0,4,0,0,2025-01-05,0,0,,0,0
TXN0000729,CUST01609,1049309063,Transfer,Mobile App,Pantami,137426.45,294169.87,2025-01-06 15:19:46,117697.78146520145,281258.69534751173,0,15,0,0,2025-01-06,0,0,0.0,0,0
TXN0008572,CUST01609,1049309063,Withdrawal,Mobile App,Kano Central,65143.11,229026.76,2025-03-24 19:30:49,75579.15662782955,206001.7785323362,0,19,0,0,2025-03-24,0,0,,0,0
TXN0007672,CUST01609,1049309063,Withdrawal,Mobile App,Gombe GRA,70808.89,158217.87,2025-05-29 17:36:21,75579.15662782955,206001.7785323362,0,17,0,0,2025-05-29,0,0,,0,0
TXN0003141,CUST01609,1049309063,Deposit,ATM,Lagos Island,48449.48,206667.35,2025-06-15 01:53:06,118545.24564193691,208386.5599244788,0,1,0,0,2025-06-15,0,0,,0,0
TXN0010366,CUST01609,1049309063,Transfer,Branch,Tudun Wada,163504.69,43162.66,2025-06-23 08:02:12,117697.78146520145,281258.69534751173,0,8,0,0,2025-06-23,0,0,0.0,0,0
TXN0006476,CUST01706,1056912766,Deposit,Internet Banking,Gombe Main,33235.4,100866.55,2025-01-14 12:34:35,118545.24564193691,208386.5599244788,0,12,0,0,2025-01-14,0,0,,0,0
TXN0003318,CUST01706,1056912766,Transfer,Mobile App,Lagos Island,22379.32,78487.23,2025-01-23 13:51:04,117697.78146520145,281258.69534751173,0,13,0,0,2025-01-23,0,0,0.0,0,0
TXN0003496,CUST01706,1056912766,POS Payment,ATM,Tudun Wada,7800.79,70686.44,2025-04-01 12:12:29,30183.22639744952,201999.3457782681,0,12,0,0,2025-04-01,0,0,,0,0
TXN0008416,CUST01706,1056912766,Deposit,Mobile App,Tudun Wada,25848.24,96534.68,2025-04-06 22:56:36,118545.24564193691,208386.5599244788,0,22,0,0,2025-04-06,0,0,,0,0
TXN0003242,CUST01706,1056912766,Withdrawal,ATM,Tudun Wada,61869.78,34664.9,2025-04-16 06:29:19,75579.15662782955,206001.7785323362,0,6,0,0,2025-04-16,0,0,,0,0
TXN0009138,CUST01706,1056912766,Withdrawal,Mobile App,Tudun Wada,40071.81,-5406.91,2025-04-26 07:46:21,75579.15662782955,206001.7785323362,0,7,0,0,2025-04-26,0,0,,0,0
TXN0006649,CUST01706,1056912766,Deposit,USSD,Gombe Main,48441.85,43034.94,2025-06-12 02:34:39,118545.24564193691,208386.5599244788,0,2,0,0,2025-06-12,0,0,,0,0
TXN0002427,CUST01706,1056912766,Transfer,Branch,Tudun Wada,121807.58,-50000.0,2025-06-22 11:52:16,117697.78146520145,281258.69534751173,0,11,0,0,2025-06-22,0,0,0.0,0,0
TXN0010215,CUST00275,1058720660,Withdrawal,ATM,Bauchi Rd,32191.8,92174.2,2025-02-06 15:42:20,75579.15662782955,206001.7785323362,0,15,0,0,2025-02-06,0,0,,0,0
TXN0001637,CUST00275,1058720660,Withdrawal,Internet Banking,Lagos Island,68230.42,23943.78,2025-02-17 15:57:09,75579.15662782955,206001.7785323362,0,15,0,0,2025-02-17,0,0,,0,0
TXN0009635_0,CUST00275,1058720660,Transfer,Internet Banking,Bauchi Rd,576611.08,55981.63,2025-03-12 04:53:02,117697.78146520145,281258.69534751173,0,4,0,0,2025-03-12,0,0,0.0,0,1
TXN0009635,CUST00275,1058720660,Deposit,Internet Banking,Bauchi Rd,32037.85,55981.63,2025-03-12 04:53:02,118545.24564193691,208386.5599244788,0,4,0,0,2025-03-12,0,0,,0,0
TXN0009635_1,CUST00275,1058720660,Transfer,Internet Banking,Bauchi Rd,576611.08,55981.63,2025-03-12 04:55:02,117697.78146520145,281258.69534751173,0,4,0,0,2025-03-12,0,0,0.0,0,1
TXN0009635_2,CUST00275,1058720660,Transfer,Internet Banking,Bauchi Rd,576611.08,55981.63,2025-03-12 04:57:02,117697.78146520145,281258.69534751173,0,4,0,1,2025-03-12,0,1,1.0,1,1
TXN0007148,CUST00275,1058720660,Deposit,Branch,Lagos Island,33126.72,89108.35,2025-03-29 19:31:51,118545.24564193691,208386.5599244788,0,19,0,0,2025-03-29,0,0,,0,0
TXN0002831,CUST00275,1058720660,Deposit,ATM,Kano Central,102707.35,191815.7,2025-05-08 15:02:37,118545.24564193691,208386.5599244788,0,15,0,0,2025-05-08,0,0,,0,0
TXN0010185,CUST00275,1058720660,Bill Payment,Internet Banking,Lagos Island,13979.21,177836.49,2025-05-14 22:44:23,21098.941747967478,159017.0470171929,0,22,0,0,2025-05-14,0,0,,0,0
TXN0001562,CUST00275,1058720660,Deposit,Branch,Kano Central,59028.85,236865.34,2025-06-03 02:43:00,118545.24564193691,208386.5599244788,0,2,0,0,2025-06-03,0,0,,0,0
TXN0000593,CUST00275,1058720660,Withdrawal,Mobile App,Lagos Island,18379.75,218485.59,2025-06-28 09:37:09,75579.15662782955,206001.7785323362,0,9,0,0,2025-06-28,0,0,,0,0
TXN0001137,CUST01776,1062827874,POS Payment,Mobile App,Gombe GRA,15959.83,197694.53,2025-02-23 05:56:49,30183.22639744952,201999.3457782681,0,5,0,0,2025-02-23,0,0,,0,0
TXN0001004,CUST01776,1062827874,POS Payment,Mobile App,Lagos Island,13814.01,183880.52,2025-03-03 17:55:59,30183.22639744952,201999.3457782681,0,17,0,0,2025-03-03,0,0,,0,0
TXN0007407,CUST01776,1062827874,Withdrawal,Mobile App,Bauchi Rd,43275.98,140604.54,2025-03-19 19:11:12,75579.15662782955,206001.7785323362,0,19,0,0,2025-03-19,0,0,,0,0
TXN0000304,CUST01776,1062827874,Withdrawal,ATM,Gombe GRA,94108.89,46495.65,2025-03-26 16:41:41,75579.15662782955,206001.7785323362,0,16,0,0,2025-03-26,0,0,,0,0
TXN0007343,CUST01776,1062827874,Bill Payment,Branch,Gombe GRA,4631.48,41864.17,2025-04-04 17:53:05,21098.941747967478,159017.0470171929,0,17,0,0,2025-04-04,0,0,,0,0
TXN0004442,CUST01776,1062827874,Bill Payment,Mobile App,Kano Central,10217.3,31646.87,2025-06-13 22:06:31,21098.941747967478,159017.0470171929,0,22,0,0,2025-06-13,0,0,,0,0
TXN0004508,CUST01776,1062827874,POS Payment,USSD,Gombe GRA,19870.94,11775.93,2025-06-16 04:40:30,30183.22639744952,201999.3457782681,0,4,0,0,2025-06-16,0,0,,0,0
TXN0002012,CUST00031,1067157848,Withdrawal,USSD,Lagos Island,149198.22,293864.21,2025-02-05 09:44:41,75579.15662782955,206001.7785323362,0,9,0,0,2025-02-05,0,0,,0,0
TXN0000414,CUST00031,1067157848,Withdrawal,Mobile App,Gombe GRA,23761.25,270102.96,2025-02-16 10:30:41,75579.15662782955,206001.7785323362,0,10,0,0,2025-02-16,0,0,,0,0
TXN0004528,CUST00031,1067157848,POS Payment,Branch,Pantami,40791.64,229311.32,2025-03-06 16:23:16,30183.22639744952,201999.3457782681,0,16,0,0,2025-03-06,0,0,,0,0
TXN0004681,CUST00031,1067157848,Transfer,ATM,Kano Central,73570.46,155740.86,2025-03-09 09:57:44,117697.78146520145,281258.69534751173,0,9,0,0,2025-03-09,0,0,0.0,0,0
TXN0001522,CUST00031,1067157848,Withdrawal,USSD,Gombe Main,45077.74,110663.12,2025-03-18 03:01:12,75579.15662782955,206001.7785323362,0,3,1,0,2025-03-18,0,1,,0,0
TXN0006035,CUST00031,1067157848,POS Payment,USSD,Tudun Wada,52996.01,57667.11,2025-04-07 07:14:29,30183.22639744952,201999.3457782681,0,7,0,0,2025-04-07,0,0,,0,0
TXN0002218,CUST00031,1067157848,Withdrawal,Branch,Pantami,22754.1,34913.01,2025-04-10 22:08:08,75579.15662782955,206001.7785323362,0,22,0,0,2025-04-10,0,0,,0,0
TXN0000031,CUST00031,1067157848,Transfer,USSD,Pantami,172907.33,-50000.0,2025-04-29 12:31:06,117697.78146520145,281258.69534751173,0,12,0,0,2025-04-29,0,0,0.0,0,0
TXN0008081,CUST00031,1067157848,Transfer,Internet Banking,Pantami,43736.95,-50000.0,2025-05-09 17:23:17,117697.78146520145,281258.69534751173,0,17,0,0,2025-05-09,0,0,0.0,0,0
TXN0005168,CUST01657,1067917165,Transfer,ATM,Kano Central,115792.7,380061.02,2025-03-13 01:05:36,117697.78146520145,281258.69534751173,0,1,0,0,2025-03-13,0,0,0.0,0,0
TXN0004872,CUST01657,1067917165,Transfer,USSD,Gombe GRA,39364.48,340696.54,2025-03-19 16:35:19,117697.78146520145,281258.69534751173,0,16,0,0,2025-03-19,0,0,0.0,0,0
TXN0008135,CUST01657,1067917165,Bill Payment,USSD,Gombe GRA,7417.43,333279.11,2025-03-20 21:09:32,21098.941747967478,159017.0470171929,0,21,0,0,2025-03-20,0,0,,0,1
TXN0000313,CUST01657,1067917165,Withdrawal,Mobile App,Pantami,25570.85,307708.26,2025-04-15 09:39:25,75579.15662782955,206001.7785323362,0,9,0,0,2025-04-15,0,0,,0,0
TXN0002276,CUST01657,1067917165,Withdrawal,Branch,Bauchi Rd,42279.08,265429.18,2025-04-17 02:27:14,75579.15662782955,206001.7785323362,0,2,1,0,2025-04-17,0,1,,0,0
TXN0004361,CUST01657,1067917165,Transfer,ATM,Gombe Main,29823.71,235605.47,2025-05-20 19:50:49,117697.78146520145,281258.69534751173,0,19,0,0,2025-05-20,0,0,0.0,0,0
TXN0009584,CUST01657,1067917165,Deposit,ATM,Gombe Main,73681.48,309286.95,2025-06-18 15:36:07,118545.24564193691,208386.5599244788,0,15,0,0,2025-06-18,0,0,,0,0
TXN0005527,CUST01657,1067917165,Withdrawal,USSD,Lagos Island,29101.09,280185.86,2025-06-19 09:09:56,75579.15662782955,206001.7785323362,0,9,0,0,2025-06-19,0,0,,0,1
TXN0009704,CUST01657,1067917165,Transfer,Mobile App,Bauchi Rd,88288.28,191897.58,2025-06-29 00:38:21,117697.78146520145,281258.69534751173,0,0,0,0,2025-06-29,0,0,0.0,0,0
TXN0000315,CUST00864,1067951050,Bill Payment,USSD,Lagos Island,39015.17,360231.27,2025-01-17 23:25:35,21098.941747967478,159017.0470171929,0,23,0,0,2025-01-17,0,0,,0,0
TXN0002385,CUST00864,1067951050,Withdrawal,Mobile App,Gombe GRA,58626.11,301605.16,2025-01-18 09:09:52,75579.15662782955,206001.7785323362,0,9,0,0,2025-01-18,0,0,,0,0
TXN0006316,CUST00864,1067951050,Withdrawal,USSD,Bauchi Rd,32217.19,269387.97,2025-01-22 18:35:39,75579.15662782955,206001.7785323362,0,18,0,0,2025-01-22,0,0,,0,0
TXN0007370,CUST00864,1067951050,Withdrawal,Branch,Kano Central,43537.33,225850.64,2025-01-26 15:09:13,75579.15662782955,206001.7785323362,0,15,0,0,2025-01-26,0,0,,0,0
TXN0001271,CUST00864,1067951050,Transfer,ATM,Gombe Main,76137.25,149713.39,2025-02-05 12:32:14,117697.78146520145,281258.69534751173,0,12,0,0,2025-02-05,0,0,0.0,0,0
TXN0002927,CUST00864,1067951050,Withdrawal,USSD,Pantami,26103.87,123609.52,2025-02-28 05:50:16,75579.15662782955,206001.7785323362,0,5,0,0,2025-02-28,0,0,,0,0
TXN0005341,CUST00864,1067951050,Transfer,Branch,Gombe GRA,114118.18,9491.34,2025-03-31 04:07:40,117697.78146520145,281258.69534751173,0,4,0,0,2025-03-31,0,0,0.0,0,0
TXN0007124,CUST00864,1067951050,Withdrawal,ATM,Lagos Island,253821.52,-50000.0,2025-06-06 22:18:06,75579.15662782955,206001.7785323362,0,22,0,0,2025-06-06,0,0,,0,0
TXN0004216,CUST00014,1068574553,Bill Payment,USSD,Bauchi Rd,13584.56,260168.34,2025-01-20 14:25:55,21098.941747967478,159017.0470171929,0,14,0,0,2025-01-20,0,0,,0,0
TXN0006660,CUST00014,1068574553,Deposit,Branch,Gombe GRA,64510.85,324679.19,2025-04-02 04:20:04,118545.24564193691,208386.5599244788,0,4,0,0,2025-04-02,0,0,,0,0
TXN0002352,CUST00014,1068574553,Deposit,Internet Banking,Kano Central,142023.83,466703.02,2025-04-11 08:22:58,118545.24564193691,208386.5599244788,0,8,0,0,2025-04-11,0,0,,0,0
TXN0004485,CUST00014,1068574553,Bill Payment,ATM,Kano Central,5685.19,461017.83,2025-05-11 16:13:09,21098.941747967478,159017.0470171929,0,16,0,0,2025-05-11,0,0,,0,0
